is_extra,ser_num,borough,sex,race,age_bucket,was_frisked,contraband_found,gun_found,weapon_found,arrest_made,summons_issued,physical_force_used,reason_for_stop_2,was_frisked,reason_for_frisk
0,2080,Bronx,Male,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions of engaging in a violent crime,Not frisked,do_not_include
0,1789,Brooklyn,Male,White,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Carrying suspicious object,Not frisked,do_not_include
0,459,Queens,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Carrying suspicious object,Not frisked,do_not_include
0,1331,Staten Island,Male,White,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,8845,Staten Island,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Casing a victim or location,Not frisked,do_not_include
0,2464,Manhattan,Male,White,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,1235,Manhattan,Male,White,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,5689,Brooklyn,Female,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,6381,Brooklyn,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,5242,Brooklyn,Male,White,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,590,Manhattan,Male,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,302,Manhattan,Male,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,158,Brooklyn,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,8435,Brooklyn,Male,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,4089,Bronx,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,3970,Brooklyn,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,4826,Bronx,Male,Black Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,2973,Brooklyn,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,16673,Manhattan,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,8917,Brooklyn,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,2319,Brooklyn,Male,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,1315,Queens,Female,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,1727,Bronx,Male,White,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,9303,Bronx,Male,Black Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,7757,Staten Island,Male,Asian/Pacific Islander,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,1418,Bronx,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,2858,Bronx,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,10208,Manhattan,Male,White,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Fits a relevant description,Not frisked,do_not_include
0,2326,Brooklyn,Male,Black Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,1824,Brooklyn,Male,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,1310,Manhattan,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,1528,Brooklyn,Male,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,1700,Manhattan,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,8567,Queens,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force used,Fits a relevant description,Not frisked,do_not_include
